municipio,coef_vial,se_vial,ci_vial_lower,ci_vial_upper,coef_area,se_area,ci_area_lower,ci_area_upper
Municipio El Sauce,0.8299595184362185,0.3649726912880962,0.08982737636449843,1.5997738086659392,-0.2330140293822057,0.07807479079415816,-0.3842072891491476,-0.06876683694125213
Municipio El Tortugero,0.8251727816580744,0.3443686936320871,0.10532643150890815,1.5476844165019454,-0.23115580706981503,0.07881392714377777,-0.3847631403514162,-0.07279259136911977
Municipio El Tuma - La Dalia,0.8187523964782517,0.3550491499405177,0.03022096335729116,1.5756384567763646,-0.23186368354043868,0.07591627697118813,-0.38257862241922985,-0.07205449827956473
Municipio Esquipulas,0.8030633527731015,0.34432744482964434,0.09461450756278912,1.5308094807151322,-0.23112575996403228,0.0788295958754931,-0.39257066044386124,-0.07226928031655726
Municipio Estelí,0.8203827931986315,0.3505498614024479,0.08532007909117606,1.5407245690509386,-0.23257835367641777,0.07741130935263787,-0.3880999886500771,-0.07766187001591791
Municipio Jalapa,0.814101050245527,0.3454208639461153,0.09245304106740702,1.5211407142675661,-0.23269953109604166,0.07922817060983665,-0.39524810447947856,-0.0758373692965502
Municipio Kukra Hill,0.8283970331784176,0.3533462864104289,0.05486376683403165,1.5449307457584909,-0.2318419580078787,0.07898160971164574,-0.3934571424473661,-0.06693473524354246
Municipio La Concordia,0.816260586208676,0.33898603789672127,0.13776884731136632,1.549932423689875,-0.2282778868041101,0.07977825489078483,-0.387207216608148,-0.06631159096793587
Municipio La Cruz de Río Grande,0.8212268599389759,0.3422604650334788,0.09454374727145155,1.5364227220473405,-0.232049128692868,0.0800905782247814,-0.39063241114100317,-0.07123236789473421
Municipio La Libertad,0.8249849274035489,0.34665485336243174,0.07533097908508089,1.5477495567181265,-0.2330272492344296,0.07729809085962484,-0.37980099693265346,-0.07293528147188609
Municipio La Trinidad,0.8121791432813769,0.35759062422221666,0.08339757760537443,1.5755118183152155,-0.232658184248018,0.07748689361041483,-0.3855739829987109,-0.07137835879027757
Municipio Laguna de Perlas,0.8289937985422724,0.3527570032329473,0.0692697786211113,1.5556994379335232,-0.2326115435679816,0.0791583755113352,-0.39649414486576245,-0.08598733187705558
Municipio Larreynaga,0.8204845376937889,0.3486756801323402,0.06998115211797662,1.5290354174802365,-0.23148172379349088,0.0771340124175056,-0.3998041973672465,-0.09048109293641998
Municipio Las Sabanas,0.8214613717853371,0.3484409208482423,0.09025977326370573,1.5553180214457387,-0.22502383099772288,0.07705868966788273,-0.37694678671552656,-0.06512434863385132
Municipio León,0.8978153715312266,0.3532239320939683,0.23923313286902514,1.6492525111869039,-0.216314553094974,0.08278251720725453,-0.38085913575432023,-0.053302249461221966
Municipio Macuelizo,0.8303996178069467,0.35440406743401764,0.05715197830487196,1.5333563767860114,-0.23082098699069678,0.08004341958953767,-0.39110804544338307,-0.06223859956794411
